Date/Time, Noisy Line, Cosinus, Noisy Cosinus, Sinus, Wide Sinus, Combined Sinuses, Fading Sinus
22-Sep-13 03:16:00.000000, -8.3639739564918, -0.96126169593835, -0.95662102874914, -0.27563735581689, -4.9738370267457, 2.9342838546487, 4.720371732919
22-Sep-13 03:17:00.000000, -7.7289721794561, -0.95630475596324, -1.0046858610046, -0.29237170472206, -4.9738432177903, 2.9286995473024, 4.7206643972311
22-Sep-13 03:18:00.000000, -8.488565413276, -0.95105651629528, -0.95938492807386, -0.30901699437457, -4.9738494081042, 2.9231449271043, 4.7209570288777
22-Sep-13 03:19:00.000000, -8.2777584743582, -0.94551857559964, -0.90622592924218, -0.32556815445622, -4.9738555976874, 2.9176216841605, 4.7212496278582
22-Sep-13 03:20:00.000000, -7.9468107104519, -0.93969262078583, -0.96751701329446, -0.34202014332589, -4.9738617865399, 2.9121314990181, 4.7215421941718
22-Sep-13 03:21:00.000000, -7.7936528549966, -0.933580426497, -0.87086051135904, -0.35836794954581, -4.9738679746618, 2.9066760421562, 4.721834727817
22-Sep-13 03:22:00.000000, -7.6303863549281, -0.9271838545668, -0.98627032466741, -0.37460659341587, -4.973874162053, 2.901256973475, 4.7221272287934
22-Sep-13 03:23:00.000000, -8.4519640286229, -0.92050485345269, -0.86113051610762, -0.39073112848869, -4.9738803487136, 2.8958759417902, 4.7224196970996
22-Sep-13 03:24:00.000000, -8.4993078424592, -0.91354545764273, -0.85188749312925, -0.4067366430755, -4.9738865346434, 2.8905345843314, 4.7227121327353
22-Sep-13 03:25:00.000000, -7.6919828756675, -0.90630778703704, -0.96209811161873, -0.42261826173987, -4.9738927198426, 2.8852345262441, 4.7230045356988
22-Sep-13 03:26:00.000000, -7.6097360039641, -0.89879404629903, -0.81406251488356, -0.43837114678935, -4.9738989043111, 2.8799773800924, 4.7232969059897
22-Sep-13 03:27:00.000000, -7.9134752165589, -0.8910065241885, -0.88881183380909, -0.45399049973929, -4.9739050880489, 2.8747647453713, 4.723589243607
22-Sep-13 03:28:00.000000, -7.501707295888, -0.88294759285891, -0.93256182989808, -0.46947156278591, -4.9739112710561, 2.8695982080153, 4.7238815485495
22-Sep-13 03:29:00.000000, -7.8210904040938, -0.87461970713967, -0.92218556704398, -0.48480962024584, -4.9739174533325, 2.8644793399188, 4.7241738208165
22-Sep-13 03:30:00.000000, -8.198654520185, -0.86602540378502, -0.90258315257611, -0.49999999999899, -4.9739236348783, 2.8594096984553, 4.724466060407
22-Sep-13 03:31:00.000000, -8.1870211058701, -0.85716730070208, -0.86969299603744, -0.51503807491011, -4.9739298156934, 2.8543908260032, 4.7247582673198
22-Sep-13 03:32:00.000000, -7.6595854075437, -0.84804809615623, -0.93124675331461, -0.52991926423353, -4.9739359957778, 2.8494242494777, 4.7250504415545
22-Sep-13 03:33:00.000000, -7.8045340014177, -0.83867056794554, -0.76830073210949, -0.54463903501485, -4.9739421751316, 2.8445114798635, 4.7253425831097
22-Sep-13 03:34:00.000000, -7.9576353442192, -0.82903757255499, -0.74549606771018, -0.55919290347083, -4.9739483537546, 2.8396540117551, 4.7256346919846
22-Sep-13 03:35:00.000000, -7.9516875894981, -0.81915204428928, -0.90004125531664, -0.57357643635064, -4.973954531647, 2.8348533229028, 4.7259267681784
22-Sep-13 03:36:00.000000, -8.2214144387848, -0.80901699437559, -0.85808508336765, -0.58778525229159, -4.9739607088086, 2.8301108737608, 4.7262188116901
22-Sep-13 03:37:00.000000, -7.5908464789814, -0.79863551004721, -0.86899566878979, -0.60181502315216, -4.9739668852396, 2.825428107043, 4.7265108225186
22-Sep-13 03:38:00.000000, -8.0407727954633, -0.78801075360645, -0.6965728551273, -0.61566147532601, -4.9739730609399, 2.8208064472848, 4.7268028006631
22-Sep-13 03:39:00.000000, -7.5549291069875, -0.77714596145706, -0.78516208904157, -0.62932039104972, -4.9739792359095, 2.8162473004072, 4.7270947461227
22-Sep-13 03:40:00.000000, -7.7345206855026, -0.76604444311945, -0.71542683974359, -0.64278760968597, -4.9739854101484, 2.8117520532896, 4.7273866588965
22-Sep-13 03:41:00.000000, -7.8190322603653, -0.75470958022305, -0.72356091811638, -0.65605902899019, -4.9739915836566, 2.8073220733466, 4.7276785389833
